"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R28,R26,R6,R3,R2,R15,R27";"R_0402_5MIL_DWS";7;"2.2K/0402";;;
2;"R25,R7,R13,R10,R12,R11,R9,R8,R14";"R_0402_5MIL_DWS";9;"270R/0402";;;
3;"FET3,FET2";"SOT23";2;"BSS138";;;
4;"AUDIO_JACK_1";"PJ-W47S-05D2-LF_5PIN_V2";1;"PJ-W47S-05D2-LF_V2";;;
5;"SJ1";"SJ_1_SMALLER";1;"open";;;
6;"FET1";"SOT23";1;"WPM2015";;;
7;"DBG1";"HN1x3";1;"NH1x3";;;
8;"CON2";"CL0104PV1K0";1;"CI0104P1VK0";;;
9;"MH3,MH1,MH2,MH4";"Mounting_hole_Shield_3.3mm";4;"Mounting_hole_Shield_3.3mm";;;
10;"FID4,FID1,FID2,FID3";"Fiducial1x3";4;"Fiducial";;;
11;"UEXT1";"BH10S";1;"BH10S";;;
12;"BAT_CON1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
13;"OLIMEX_LOGO";"OLIMEX_LOGO_TB";1;"Logo";;;
14;"RoHS_Complaint";"LOGO_ROHS_1";1;"Logo";;;
15;"Recycle_bin";"LOGO_RECYCLEBIN_1";1;"logo";;;
16;"PB_FREE";"LOGO_PBFREE";1;"Logo";;;
17;"Open_Hardware";"LOGO_OPENHARDWARE_8x8";1;"Logo";;;
18;"Antistatic";"LOGO_ANTISTATIC_1";1;"Logo";;;
19;"U2";"RP_Pico2040";1;"RP_pico2040";;;
20;"C1";"C_0603_5MIL_DWS";1;"10uF/6.3V/0603";;;
21;"FUSE1";"FUSE-1206";1;"FSMD035";;;
22;"HDMI1";"HDMI-SWM-19-TEST";1;"HDMI-SWM-19";;;
23;"C2";"C_0603_5MIL_DWS";1;"1uF/6.3V/0603";;;
24;"LED1";"LED_0603_KA";1;"Red";;;
25;"R1";"R_0402_5MIL_DWS";1;"1.5K/5%/0402";;;
26;"R4";"R_0402_5MIL_DWS";1;"2K/5%/0402";;;
27;"R5";"R_0402_5MIL_DWS";1;"100K/0402";;;
28;"U1";"SOT-23-5";1;"BL4054B-42TPRN(SOT23-5)";;;
29;"USB1";"USB-MICRO_MISB-SWMM-5B_LF";1;"USB-MINI";;;
30;"C3,C7";"C_0805_5MIL_DWS";2;"47UF/6.3V/20%/0805";;;
31;"C4,C5,C6";"C_0402_5MIL_DWS";3;"100NF/10%/10VDC/0402";;;
32;"R16,R21";"R_0603_5MIL_DWS";2;"1.8K/5%/0603 ";;;
33;"R17,R20";"R_0402_5MIL_DWS";2;"100R/5%/0402";;;
34;"R18,R19";"R_0402_5MIL_DWS";2;"220R/5%/0402";;;
35;"R22,R23";"R_0402_5MIL_DWS";2;"NA/0402";;;
36;"R24";"R_0402_5MIL_DWS";1;"10K/5%/0402";;;
37;"RST1";"TSW34-W16PR-220";1;"SIDE_WTCM-TR(3x4)";;;
38;"MICRO_SD1";"TFC-WPAPR-08";1;"MICRO_SD(TFC-WPAPR-08)";;;
39;"U3";"74LVC125A(TSSOP14-14_leads-4.4mm_body_width-SOT402-1)";1;"74LVC125APW";;;
